item	itemLabel	itemDescription
http://www.wikidata.org/entity/Q810691	Bata	deity
http://www.wikidata.org/entity/Q145915	Nekhbet	Egyptian deity
http://www.wikidata.org/entity/Q146313	Sobek	Egyptian crocodile deity
http://www.wikidata.org/entity/Q1657076	Igai	Egyptian deity
http://www.wikidata.org/entity/Q753286	Meskhenet	Egyptian deity
http://www.wikidata.org/entity/Q920236	Dunanui	Egyptian deity
http://www.wikidata.org/entity/Q924762	Ta-Bitjet	mythical creature
http://www.wikidata.org/entity/Q97500831	Iah	ancient Egyptian moon god
http://www.wikidata.org/entity/Q104860808	Perit	underworld goddess in Egyptian mythology
http://www.wikidata.org/entity/Q620863	Khenti-Amentiu	deity
http://www.wikidata.org/entity/Q7326528	Aa	Egyptian deity
http://www.wikidata.org/entity/Q1141220	Hapi (Son of Horus)	Egyptian deity
http://www.wikidata.org/entity/Q1151016	Sematawy	deity
http://www.wikidata.org/entity/Q1035843	Hesat	ancient Egyptian goddess
http://www.wikidata.org/entity/Q918104	Pakhet	Egyptian deity
http://www.wikidata.org/entity/Q7326894	Aa	Ancient Egyptian deity
http://www.wikidata.org/entity/Q487290	Anat	Canaanite war deity
http://www.wikidata.org/entity/Q939129	Heryshaf	Egyptian deity
http://www.wikidata.org/entity/Q1418931	Ra-Horakhty	Egyptian deity
http://www.wikidata.org/entity/Q1067292	Mnevis	deity
http://www.wikidata.org/entity/Q1051726	Ihy	Egyptian god
http://www.wikidata.org/entity/Q9133532	Assessors of Maat	Wikimedia list article
http://www.wikidata.org/entity/Q113789087	Osiris Hemag	
http://www.wikidata.org/entity/Q1585275	Harendotes	deity
http://www.wikidata.org/entity/Q1353960	Kebehet	mythical character
http://www.wikidata.org/entity/Q3140782	Harsiesis	Egyptian deity
http://www.wikidata.org/entity/Q133343	Hathor	major goddess in ancient Egyptian religion
http://www.wikidata.org/entity/Q3535884	Tutu	Egyptian god protector of tombs and sleepers
http://www.wikidata.org/entity/Q22893925	Cherty	Egyptian god
http://www.wikidata.org/entity/Q471696	Mañjuśrī	Bodhisattva
http://www.wikidata.org/entity/Q19285	Shesmetet	ancient Egyptian goddess
http://www.wikidata.org/entity/Q25203206	Medjed	ancient Egyptian deity
http://www.wikidata.org/entity/Q167849	Resheph	deity associated with plague in ancient Canaanite religion later adopted into ancient Egyptian religion
http://www.wikidata.org/entity/Q2616803	Shed	ancient Egyptian deity
http://www.wikidata.org/entity/Q810687	Bat	cow goddess in Egyptian mythology depicted as a human face with cow ears and horns
http://www.wikidata.org/entity/Q715162	Guan Yin	Chinese interpretation of the bodhisattva Avalokiteśvara
http://www.wikidata.org/entity/Q3410228	Ptah-Patek	Egyptian deity
http://www.wikidata.org/entity/Q146007	Wadjet	Ancient Egyptian snake-headed goddess, symbolizing Lower Egypt
http://www.wikidata.org/entity/Q170138	Shu	primordial Egyptian god, a personification of dry air, spouse and counterpart to goddess Tefnut
http://www.wikidata.org/entity/Q3154629	Iry	Egyptian deity
http://www.wikidata.org/entity/Q478490	Seshat	Egyptian deity
http://www.wikidata.org/entity/Q3410234	Ptah-Sokar-Osiris	Egyptian deity
http://www.wikidata.org/entity/Q215940	Khepri	Egyptian deity of the rising sun
http://www.wikidata.org/entity/Q1784364	Hu	Egyptian deity
http://www.wikidata.org/entity/Q1195229	Sopdu	god of the sky and of eastern border regions in ancient Egyptian religion
http://www.wikidata.org/entity/L727946	L727946	
http://www.wikidata.org/entity/Q726537	Popiel	legendary Polish ruler
http://www.wikidata.org/entity/Q2291471	Sethlans	
http://www.wikidata.org/entity/Q2295284	Erditse	
http://www.wikidata.org/entity/Q2503351	Barsamin	
http://www.wikidata.org/entity/Q6959453	Orungan	Yoruba deity
http://www.wikidata.org/entity/Q3058437	Fornax	ancient Roman goddess
http://www.wikidata.org/entity/Q4205466	Itztli	
http://www.wikidata.org/entity/Q4739149	Amai-te-rangi	
http://www.wikidata.org/entity/Q5352684	Soil and grain	
http://www.wikidata.org/entity/Q129106	Bastet	Egyptian cat deity
http://www.wikidata.org/entity/Q131575	Hecate	Greek goddess
http://www.wikidata.org/entity/Q12976752	Kadaiyur VellaiAmman	Hindu folk godess
http://www.wikidata.org/entity/Q6979592	national god	People unite God for religious or political purposes
http://www.wikidata.org/entity/Q115518756	Iqbi-damiq	mesopotamian goddess
http://www.wikidata.org/entity/Q1354248	Veteris	Celtic god
http://www.wikidata.org/entity/Q10028353	Taiyi	Taoist concept and deity
http://www.wikidata.org/entity/Q22908753	Shuqamuna	pair of Kassite royal deities
http://www.wikidata.org/entity/Q12261186	Kagiris	Deity in Basque mythology
http://www.wikidata.org/entity/Q4187819	Zasa Mergen Baatar	
http://www.wikidata.org/entity/Q1817013	Nindara	Sumerian god
http://www.wikidata.org/entity/Q114614325	Gad of Palmyra	patron goddess/local deity of the city of Palmyra (Tadmor)
http://www.wikidata.org/entity/Q7305935	Rediculus	
http://www.wikidata.org/entity/Q114685373	Gusainji Maharaj	Vamana Avatar
http://www.wikidata.org/entity/Q113960740	Agemo	deity
http://www.wikidata.org/entity/Q12308548	Dharyos	deity
http://www.wikidata.org/entity/Q10575173	Madumda	God in American mythology
http://www.wikidata.org/entity/Q115818758	Dērītum	mesopotamian goddess
http://www.wikidata.org/entity/Q752166	Hadad	
http://www.wikidata.org/entity/Q12254676	Baiasis	God in Basque mythology
http://www.wikidata.org/entity/Q65286890	Nasatya	Hindu god, one of the Ashvins
http://www.wikidata.org/entity/Q521419	Aide	
http://www.wikidata.org/entity/Q14906486	Sulis Minerva	
http://www.wikidata.org/entity/Q752162	Souls of Pe and Nekhen	supernatural beings in ancient Egyptian religion
http://www.wikidata.org/entity/Q10751219	Quiritis	pre-roman goddess of motherhood also known as Juno
http://www.wikidata.org/entity/Q7833470	Tranquillitas	Roman Personification of Tranquility
http://www.wikidata.org/entity/Q6812505	landlord god	Chinese tutelary god for specific buildings, especially homes
http://www.wikidata.org/entity/Q2340435	Yam	Canaanite sea, rivers and water god
http://www.wikidata.org/entity/Q4839899	Baco	Gaulish boar-deity
http://www.wikidata.org/entity/Q113107600	Herba	greek mythology, god of misery and poverty
http://www.wikidata.org/entity/Q7327051	Wa	Egyptian deity
http://www.wikidata.org/entity/Q12741958	Tawrich	persian deity
http://www.wikidata.org/entity/Q12256459	Eberris	ancient deity
http://www.wikidata.org/entity/Q25378651	Weather god of Nerik	
http://www.wikidata.org/entity/Q18607663	Kakasbos	
http://www.wikidata.org/entity/Q12901963	Salevao	Samoan god
http://www.wikidata.org/entity/Q3899092	Penino	Deity of the Gauls
http://www.wikidata.org/entity/Q91109410	Heracles of Canobus	alternate Herakles alluded to in Greek mythology
http://www.wikidata.org/entity/Q55613267	Habaek	Korean god of the Amnok River
http://www.wikidata.org/entity/Q3196202	Khonvoum	supreme god and creator of in the mythology of the Bambuti Pygmy people
http://www.wikidata.org/entity/Q12254022	Armasto	God of Basque mythology
http://www.wikidata.org/entity/Q115596582	Priti	Hindu goddess
http://www.wikidata.org/entity/Q114876472	Zintuḫi	
http://www.wikidata.org/entity/Q32102	Ceres	Roman goddess of agriculture
http://www.wikidata.org/entity/Q113455761	Principal Bird Deity	supernatural being, a bird-like deity in the early Maya pantheon
http://www.wikidata.org/entity/Q115536350	Kadao	
http://www.wikidata.org/entity/Q911989	Istanu	god in Anatolian mythology
http://www.wikidata.org/entity/Q2610206	Anulap	
http://www.wikidata.org/entity/Q107337237	Phouoibi	Meitei goddess of agriculture, crops, food and harvest
http://www.wikidata.org/entity/Q12789837	Gerovit	West Slavic deity
http://www.wikidata.org/entity/Q3656209	Mamlambo	South African Deity
http://www.wikidata.org/entity/Q12848679	Öləng	Turkish goddess of water
http://www.wikidata.org/entity/Q65286833	Darsa	Hindu god, one of the Ashvins
http://www.wikidata.org/entity/Q106310989	Qiongxiao Niangniang	Chinese Goddess of childbirth
http://www.wikidata.org/entity/Q1751533	Ba-Pef	ancient Egyptian deity
http://www.wikidata.org/entity/Q863323	Phra Phrom	Thai representation of the god Brahma
http://www.wikidata.org/entity/Q6296873	Jowangsin	Goddess of fire and the hearth in Korean shamanism
http://www.wikidata.org/entity/Q131585	Selene	ancient Greek goddess of the Moon
http://www.wikidata.org/entity/Q105821065	Obassi	creator god of the people of Ekoi
http://www.wikidata.org/entity/Q1064555	Kumari	manifestations of the divine female energy or devi in Hindu religious traditions
http://www.wikidata.org/entity/Q3285709	Mangar-kunjer-kunja	lizard god who created humans in the Australian aboriginal mythology of the Aranda people
http://www.wikidata.org/entity/Q571948	Antenociticus	deity
http://www.wikidata.org/entity/Q10937402	Maheśvara	Figure in Buddhist Mythology
http://www.wikidata.org/entity/Q2840771	Am-heh	ancient Egyptian deity
http://www.wikidata.org/entity/Q85878350	Tianshe	
http://www.wikidata.org/entity/Q12221246	Volumna	roman deity
http://www.wikidata.org/entity/Q107007184	Wulbari	african deity
http://www.wikidata.org/entity/Q12820856	Chilton	deity
http://www.wikidata.org/entity/Q11073190	Longmu	Chinese goddess
http://www.wikidata.org/entity/Q22936352	Tjenenyet	ancient Egyptian goddess of childbirth
http://www.wikidata.org/entity/Q2339416	Inshushinak	one of the major gods of the Elamites and the protector deity of Susa
http://www.wikidata.org/entity/Q6338335	Ulkāmukha Pretarāja	Lord of the fire-spitting pretas and a manifestation of the bodhisattva Avalokiteśvara.
http://www.wikidata.org/entity/Q6401714	Khipa	ancient deity
http://www.wikidata.org/entity/Q10588858	Moombi	Kikuyu deity
http://www.wikidata.org/entity/Q4312791	Nanos	
http://www.wikidata.org/entity/Q624083	Asura	mythical beings, antigods, demons in Indian religions
http://www.wikidata.org/entity/Q544590	Ekeko	
http://www.wikidata.org/entity/Q10793618	Zywie	Slavic god of life
http://www.wikidata.org/entity/Q761936	Atarrabi	
http://www.wikidata.org/entity/Q10841624	Đặng Đại Độ	deity of Vietnam mythology
http://www.wikidata.org/entity/Q4354275	Nintulla	
http://www.wikidata.org/entity/Q4898122	Fangfeng	
http://www.wikidata.org/entity/Q6935216	Muluku	african deity
http://www.wikidata.org/entity/Q10939945	Ametsukumenomikoto	
http://www.wikidata.org/entity/Q7291666	Randeng Daoren	fictional character
http://www.wikidata.org/entity/Q11179331	Heibai Wuchang	Chinese folk deities
http://www.wikidata.org/entity/Q795080	Ugajin	Japanese deity taking the form of a snake with a human head, variably an elderly man or woman's head
http://www.wikidata.org/entity/Q7462981	Shakpana	candomblé deity
http://www.wikidata.org/entity/Q9212964	Dungu	God of the Baganda
http://www.wikidata.org/entity/Q7424134	Saritor	Ancient Roman god of weeding and hoeing
http://www.wikidata.org/entity/Q7675141	Tagaloa	Deity
http://www.wikidata.org/entity/Q3846554	Chen Yuanguang	Chinese general
http://www.wikidata.org/entity/Q7908749	Vaikuntha Chaturmurti	Hindu god
http://www.wikidata.org/entity/Q7684293	Taonoui	Tahiti and Society Islands goddess
http://www.wikidata.org/entity/Q910747	Li Jing	a figure in Chinese mythology and a god in Chinese folk religion
http://www.wikidata.org/entity/Q12254202	Arteh	God of Basque mythology
http://www.wikidata.org/entity/Q7934808	Viridios	Roman Britain deity
http://www.wikidata.org/entity/Q547105	Nezha	protection deity in Chinese folk religion
http://www.wikidata.org/entity/Q1053307	Ophion	Primordial Greek creator deity
http://www.wikidata.org/entity/Q4152501	Guruvayurappan	form of the Hindu god Vishnu, worshipped mainly in Kerala
http://www.wikidata.org/entity/Q4206055	Jyn	god in the Mari mythology
http://www.wikidata.org/entity/Q2110771	Gyalpo Pehar	guard deity of the teachings of the Buddha
http://www.wikidata.org/entity/Q6061704	Io	progenitor and supreme deity of all dragons in Dungeons & Dragons
http://www.wikidata.org/entity/Q842662	Sarruma	deity
http://www.wikidata.org/entity/Q12649772	Auštrinis	deity in Lithuanian mythology
http://www.wikidata.org/entity/Q4662238	Tishtrya	Zoroastrian divinity of Rain and the Star Sirius
http://www.wikidata.org/entity/Q4674185	Acintya	Supreme God of Indonesian Hinduism
http://www.wikidata.org/entity/Q3234403	El Shaddai	one of the names of the God of Israel
http://www.wikidata.org/entity/Q4819003	Auahitūroa	Maori deity - God of Comets and origin of Fire
http://www.wikidata.org/entity/Q4830744	Ay Dede	Father Moon of Turkic mythology
http://www.wikidata.org/entity/Q4838603	Bacax	Numidian god
